user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
SenWarren,"If you missed my questions for @WellsFargo CEO John Stumpf on his gutless leadership earlier today, take a look. https://t.co/5brb1ARRqC",2016-09-21T00:37:16.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,1782,4145,527,572,-3573,-1255
HillaryClinton,Appalling behavior from Wells Fargo. This is exactly why we need a strong @CFPB—and can't let Trump dismantle it. https://t.co/tTA2jz7unf,2016-09-09T21:10:47.000Z,https://t.co/99DVW9q1yt,Hillary Clinton,"New York, NY",true,1531,3963,156,565,-3398,-1375
SenWarren,Watch my questioning of @WellsFargo CEO John Stumpf &amp; his gutless leadership at today’s @SenateBanking hearing: https://t.co/5brb1AAgz4,2016-09-20T19:05:02.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,977,2367,307,348,-2019,-670
SenWarren,".@WellsFargo CEO John Stumpf should resign, give back the money he took while the scam was going on, &amp; be criminally investigated.",2016-09-20T19:03:38.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,1468,3739,145,280,-3459,-1323
SenSanders,"How many people at Wells Fargo are going to jail? Zero. But if you smoke marijuana in this country, you get a criminal record.",2016-09-20T13:56:19.000Z,https://t.co/8AS4FHJNoG,Bernie Sanders,Vermont/DC,true,9022,14503,642,267,-14236,-8380
SenWarren,"As I said: @WellsFargo CEO Stumpf should resign, return every nickel he made during the scam, &amp; face DOJ/SEC investigation. He’s 1 for 3.",2016-10-12T23:08:54.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,1519,4485,135,250,-4235,-1384
cspan,".@SenWarren #WellsFargo CEO: ""You should resign. You should give back the money that you took..."" https://t.co/aPZViWGJIN",2016-09-20T16:14:39.000Z,https://t.co/L3A4afzX6T,CSPAN,"Washington, D.C.",true,3610,5025,1516,227,-4798,-2094
CNN,"Elizabeth Warren to Wells Fargo CEO: ""You should resign"" and be ""criminally investigated"" https://t.co/K2mdkNfhhm https://t.co/1tTXUhXSm3",2016-09-21T01:36:49.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,994,1845,209,208,-1637,-785
SenWarren,"If @WellsFargo’s John Stumpf is leaving with all of his ill-gotten millions, that's still not real accountability.",2016-10-12T23:10:59.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,1124,3107,55,191,-2916,-1069
CNN,"Elizabeth Warren to Wells Fargo CEO: ""You should resign"" and be ""criminally investigated"" https://t.co/M4m1ztMRc8 https://t.co/vOTNZS0rTM",2016-09-20T21:10:00.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,900,1458,158,179,-1279,-742
SenWarren,Today at 10am @SenateBanking will question @WellsFargo CEO John Stumpf about its years-long scam. Watch: https://t.co/EG5ZjTAP7j,2016-09-20T14:00:15.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,259,757,47,171,-586,-212
SenWarren,.@WellsFargo CEO Stumpf will be just fine: he keeps his job &amp; most of the money he made while massive fraud went on under his nose.,2016-09-28T14:10:33.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,562,1375,50,159,-1216,-512
