user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
nytimes,"Special Report: The Wounded Warrior Project’s lavish staff spending is raising questions about its mission
https://t.co/avjH3oRgoB",2016-01-27T19:28:35.000Z,http://t.co/ahvuWqicF9,The New York Times,New York City,true,1254,460,1,28,-432,-1253
David_Philipps,"Wounded Warrior Project Spends Lavishly on Itself, Ex-Employees Say. $500 hotel nights and business class to Europe https://t.co/aLEt7XoC1V",2016-01-27T19:37:33.000Z,https://t.co/HuOhDvIRws,David Philipps,colorado,false,114,91,1,19,-72,-113
EvilBachus,“Wounded Warrior Project” a big scam to raise millions of dollars for extravagant parties: https://t.co/DMvWfYKfRI,2016-01-27T00:12:26.000Z,https://t.co/gEYuHoKJtS,"Dustin ""Please Scream Inside Your Heart"" Westphal",United States,false,2,2,0,0,-2,-2
CBSEveningNews,.@CBSNews' investigation into a charity for wounded veterans. Where is the money going?: https://t.co/BPmIWuptQy https://t.co/gp7yGvFmqa,2016-01-27T00:14:28.000Z,https://t.co/Mm7FlsMteV,CBS Evening News,📺 6:30 p.m. ET,true,59,29,0,10,-19,-59
CBSNews,CBS News investigation: Wounded Warrior Project accused of wasting donation money https://t.co/9kw4f6b29q,2016-01-27T00:16:23.000Z,https://t.co/WWGo4zp06H,CBS News,"New York, NY",true,183,114,0,48,-66,-183
bionikmatt5,Wounded Warrior Project accused of wasting donation money - CBS News https://t.co/r8TMwfoKo5,2016-01-27T00:22:36.000Z,https://t.co/r6e0tmQiLy,Matthew Bradford,The Commonwealth of Kentucky,false,3,2,0,2,0,-3
Tbooker24,Via @CBSNews: #WoundedWarriorProject accused of wasting donation money | https://t.co/pzis5DwT3c cc: @itsgblock,2016-01-27T00:23:58.000Z,https://t.co/9QOw8eCeCR,Ted Booker,"South Bend, IN",false,1,1,0,0,-1,-1
CBSTopNews,Wounded Warrior Project accused of wasting donation money https://t.co/PJ3JXw5DkP,2016-01-27T00:29:04.000Z,http://t.co/JEbgQWpRJS,CBS Top News,"New York, NY",false,2,1,0,0,-1,-2
DPForrester,Wounded Warrior Project accused of wasting donation money https://t.co/BOqV2HOaoU,2016-01-27T00:31:49.000Z,https://t.co/qCpv6FeKAP,Daniel Patrick Forrester,New Jersey,false,1,2,0,0,-2,-1
NedBreslin,"Spending evening with @wwp peer support group in #ColoradoSprings - #veterans coming together to share, heal, support each other",2016-01-27T00:37:11.000Z,,Ned Breslin,"Denver, CO",false,4,13,0,2,-11,-4
CBSNewsRadio,A @CBSNews investigation into the Wounded Warrior Project finds just 60% of its budget is spent on veterans. https://t.co/Dw0cHZqOf8,2016-01-27T01:05:19.000Z,https://t.co/IR8OCfIPQn,CBS News Radio,United States ,true,8,1,0,1,0,-8
thebucksavage,... https://t.co/glCO6BAbTN,2016-01-27T01:07:48.000Z,https://t.co/O6j32jLJ2m,David Smith,"Arizona, USA",false,1,1,0,0,-1,-1
NewsOn6,Wounded Warrior Project Accused Of Wasting Donation Money https://t.co/PlPoJU6kE3 https://t.co/wQkLrdxgVW,2016-01-27T01:19:08.000Z,https://t.co/OwkT1MNliN,News On 6,"Tulsa, Oklahoma",true,3,4,0,0,-4,-3
politicques,Wounded Warrior Project accused of wasting donation money - CBS News - https://t.co/SkzrNqWB8W,2016-01-27T01:21:03.000Z,,Politicques,Everywhere,false,2,1,0,0,-1,-2
cpelusi,".@CBSEveningNews exposes Wounded Warrior Project's shady spending at expense of US military it claims to serve.
https://t.co/vMYH7gf5Gf",2016-01-27T01:25:28.000Z,,Christian Pelusi,The Keystone State,false,1,1,0,0,-1,-1
CBSNLive,.@CBSNews investigates: Wounded Warrior Project accused of wasting donation money https://t.co/cKmcnwXUPf https://t.co/7S44xdMwAC,2016-01-27T01:26:04.000Z,http://t.co/ekFq7yy7y6,CBSN,NA,true,8,5,0,1,-4,-8
malbertnews,".@CBSNews finds Wounded Warrior Project accused of wasting donation money, shorting vets: https://t.co/KXaWSfGRFo https://t.co/HIUYtg9lZx",2016-01-27T01:29:25.000Z,https://t.co/0KnoW3uT6p,Mark Albert,"Washington, D.C.",true,5,3,0,0,-3,-5
RyanNBCBoston,Chip Reid &amp; @JenniferJanisch investigate questionable spending of donation $ at Wounded Warrior Project https://t.co/Ejg3iBYN6Y,2016-01-27T01:35:53.000Z,https://t.co/HsuxNHndlY,Ryan Kath,"Boston, MA",true,1,3,0,0,-3,-1
BryanJFischer,Open trench warfare between Trump and Fox: already up with an anti-Wounded Warrior story. https://t.co/wWNacRAmbX,2016-01-27T01:41:35.000Z,https://t.co/8sEAsylOjz,Bryan Fischer,Pacific Northwest,true,5,1,0,1,0,-5
nielslesniewski,Which veterans group is @realDonaldTrump planning to raise money for? Because CBS just reported this https://t.co/8yCmmQO4FN,2016-01-27T01:42:01.000Z,https://t.co/7W98446D3M,Niels Lesniewski,"Washington, D.C.",true,1,3,0,0,-3,-1
WendyT23,Wounded Warrior Project accused of wasting donation money https://t.co/5fsmP8CVLG,2016-01-27T01:47:54.000Z,,Wendy Topletz,"Dallas, TX",false,1,1,0,0,-1,-1
NaVOBA,Interesting CBS report on Wounded Warrior Project spending. Why not Buy @buyveteran instead? https://t.co/p6pudXutHs,2016-01-27T01:57:49.000Z,https://t.co/yKWelzZTPe,NaVOBA,"Pittsburgh, PA",false,2,3,0,1,-2,-2
TonyCunningha16,Wounded Warrior Project accused of wasting donation money https://t.co/v9c3P8h1ZH via @cbsnews Ask Trace Akins what his compensation is?,2016-01-27T02:09:04.000Z,https://t.co/yXeG8QzMab,Tony Cunningham,Xenia Ohio,false,1,1,0,0,-1,-1
BladdLadd,Shame on you @wwp only 60%to the warriors who gave 100% for their country.,2016-01-27T02:25:41.000Z,,Fred Ladd,NA,false,1,1,0,1,0,-1
mch7576,Wounded Warrior Project accused of wasting donation money https://t.co/kWAOGY6Dqt,2016-01-27T02:30:32.000Z,,Doc,Earth,false,7,5,0,0,-5,-7
therightswrong,"Wounded Warrior Project wasted millions in donations on lavish spending, on stuff other than #veterans.
https://t.co/mzxrlhMjH6",2016-01-27T02:40:55.000Z,,The Right is Wrong,0hio,false,16,6,0,3,-3,-16
NEWS9,Wounded Warrior Project Accused Of Wasting Donation Money https://t.co/dMiRjFiAlv #News9 https://t.co/b9Ib6un83e,2016-01-27T02:44:15.000Z,https://t.co/ATtaadjjZA,News 9,Oklahoma City,true,10,5,0,0,-5,-10
AndrewK_1980,"Wounded Warrior Project accused of wasting donation money - CBS News, Corruption-Shameful and Disgusting https://t.co/9sNEmxsyIL",2016-01-27T02:45:15.000Z,,PTSD First Responder,"Newmarket, On",false,1,1,0,0,-1,-1
MarianMichelle1,#StevenNardizzi needs to be fired immediately from @wwp. My donations are for #woundedvets NOT his lavish spending aka-vacations #disgusted,2016-01-27T02:45:31.000Z,,Marian Penunuri,NA,false,1,1,0,0,-1,-1
CBSMornings,#WoundedWarrior Project accused of wasting donation money: https://t.co/ugcCuxmc5d https://t.co/5BkJTGvNk3,2016-01-27T02:45:37.000Z,https://t.co/jLzzFAF7Ld,CBS Mornings,United States,true,1088,34,0,8,-26,-1088
SoCallls,Wounded Warrior Project reportedly accused of wasting donor money  Fox News | https://t.co/yI3gvpFBb7  #advertises  #RushLImbaugh #Stoprush,2016-01-27T03:06:33.000Z,,CMMorgan #NeverAgain,NA,false,8,1,0,0,-1,-8
petermaer,"Great reporting by Chip Reid, @JenniferJanisch: Wounded Warrior Project accused of wasting donation money - @CBSNews https://t.co/TQNcz9oX2h",2016-01-27T03:07:54.000Z,,PETER MAER,"Washington, DC",true,5,1,0,0,-1,-5
missLtoe,Wounded Warrior Project accused of wasting donation money https://t.co/X6yktqXcOv,2016-01-27T03:08:21.000Z,,missLtoe,NA,false,2,2,0,0,-2,-2
joltdude,Wounded Warrior Project accused of wasting donation money https://t.co/t1jfBRn5Qc via @cbsnews,2016-01-27T03:36:52.000Z,,John,United States,false,1,1,0,0,-1,-1
hillj60,Wounded Warrior Project accused of wasting donation money https://t.co/EWQKWrQhlN,2016-01-27T03:52:14.000Z,http://t.co/lJgBlfsRk2,House of Public Disc,"Houston,Tx",false,2,2,0,1,-1,-2
knxnews,#WoundedWarriorProject accused of #wasting donation #money. @KNX1070 https://t.co/nuqHdHXhfu,2016-01-27T04:11:52.000Z,https://t.co/4NkonNtVPJ,KNX News 97.1 FM,Los Angeles,true,6,7,0,0,-7,-6
ProfMBond,Wounded Warrior Project accused of wasting donation money https://t.co/zxtANSWxHj,2016-01-27T04:35:04.000Z,,"Mark Bond, Ed.D",NA,false,1,1,0,0,-1,-1
ChrisCoon4,😏Wounded Warrior Project reportedly accused of wasting donor money  https://t.co/t1PP6yqzsP,2016-01-27T05:11:55.000Z,,Chris Coon,North louisiana ,false,1,1,0,0,-1,-1
keichri,Wounded Warrior Project reportedly accused of wasting donor money - https://t.co/636xiWTz4C,2016-01-27T05:27:30.000Z,https://t.co/HvBQsUFn33,Patriot #AmericaFirst,"Berea,ky",false,1,1,0,0,-1,-1
BryceLim,Wounded Warrior Project accused of wasting donation money https://t.co/U7frbIEpT6,2016-01-27T05:43:58.000Z,,Bryce Lim,"iPhone: 32.787643,-117.108658",false,1,1,0,0,-1,-1
Michael_Yon,"Wounded Warrior Charity Under Fire

There have been persistent rumors and people tipped me off as well.  The... https://t.co/840D5sZChT",2016-01-27T05:54:49.000Z,https://t.co/jA6aD0agBB,Michael Yon,Global -- Currently on Earth,false,1,1,0,0,-1,-1
CBSNews,Wounded Warrior Project accused of wasting donation money -- A CBS News investigation: https://t.co/aKuEZolTjL https://t.co/sBTn93tvPL,2016-01-27T06:00:09.000Z,https://t.co/WWGo4zp06H,CBS News,"New York, NY",true,210,115,0,29,-86,-210
patriots928,Fox news latest: Wounded Warrior Project reportedly accused of wasting donor money https://t.co/4J8SUne54y,2016-01-27T06:31:29.000Z,https://t.co/9zbVxSuuK5,Timothy Brown,United States,false,2,1,0,0,-1,-2
torrHL,"Looking for some fraud, waste, and abuse? Wounded Warrior Project has it in spades: https://t.co/mvi7Q1ACjt @wwp https://t.co/ZjDxCyDyBl",2016-01-27T07:38:46.000Z,https://t.co/AKJooSNeC9,Torr Leonard,"Los Angeles, CA",false,2,2,0,2,0,-2
BruceLeshan,Wounded Warrior Project accused of wasting donation money https://t.co/8GUcFM9jNa via @cbsnews,2016-01-27T08:00:59.000Z,https://t.co/5155Ib9Xw2,Bruce Leshan,"Washington, DC",true,1,2,0,0,-2,-1
cactusprak,Former Wounded Warrior employees accuse charity of wasting millions https://t.co/ALXzmnnZmE,2016-01-27T08:05:42.000Z,https://t.co/HpzCwpvnvM,Lucky Prak,"Buffalo, NY",false,1,1,0,0,-1,-1
RColburnnews,".@ActionNewsJax Investigates: #WoundedWarriorProject under fire, accused of lavish spending on parties &amp; salaries https://t.co/4wtcrAV0ki",2016-01-27T09:51:05.000Z,https://t.co/ZP1DeQQs62,Russell Colburn,"Kansas City, MO",true,4,3,0,1,-2,-4
RomneySmith,I can't even post some of the comments made  on @ActionNewsJax FB Page on the @WWP financial investigation --&gt; https://t.co/FlFzJqeSbT,2016-01-27T11:10:29.000Z,https://t.co/VvrqqjBIrO,Romney Smith,"New York, USA",true,1,1,0,0,-1,-1
WelbornLawNC,I wonder how much truth there is to this? https://t.co/nL57Z7P7Oa,2016-01-27T11:19:31.000Z,https://t.co/UNxd11ibRu,Welborn Law,"Mocksville, NC",false,1,2,0,0,-2,-1
JayWeber3,Very disappointing: Wounded Warrior Project under new CEO only using 60% of donations on vets. https://t.co/UijR4JlKdt,2016-01-27T11:27:40.000Z,,Jay Weber,NA,false,4,2,0,4,2,-4
