user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
JohnSimpsonNews,Haiti was disgusting. But @Oxfam has done superb work for 70+ years &amp; I for one am not abandoning it now.,2018-02-20T15:57:48.000Z,,John Simpson,"Live in UK, travel anywhere",true,1394,5336,149,261,-5075,-1245
MariaJamardoC,"Tras el repugnante escándalo sexual que Oxfam silenció en Haití, nos enteramos que ocultó también otro idéntico en Chad. Si hubiese sido una ONG católica la jauría progre la habría lapidado. Como no lo es, silencio. Cuánta hipocresía...",2018-02-11T19:46:35.000Z,,María Jamardo,"Madrid, Comunidad de Madrid",false,2597,3340,48,102,-3238,-2549
EmmaManzini,"Remember, just £30 a month will provide clean prostitutes for up to six aid workers. Even a fiver could help pay for a blow job. So please give what you can, very good, very long time. #Oxfam",2018-02-12T09:17:55.000Z,,Emma Manzini,NA,false,1381,2828,79,135,-2693,-1302
sarajcox,What happened in Haiti was a disgrace but in my opinion turning our backs on @oxfamgb and the many thousands of people it helps is not the answer. I will continue to support @oxfamgb &amp; it’s mission to ease poverty &amp; suffering around the world.,2018-02-21T08:20:03.000Z,https://t.co/Tf5HePZUkB,sara cox💙,gawping in the fridge,true,300,2827,28,90,-2737,-272
SamWhyte,You asked some baffled granny behind the counter in an Oxfam shop what they reckon about sex work in Haiti? https://t.co/3dH5Vve2jy,2018-02-13T14:38:28.000Z,https://t.co/UYZ7Gl3SnB,Sam Whyte,NA,false,803,2591,79,64,-2527,-724
damocrat,".@mrjamesob I’m tempted to up my Oxfam contribution, not because I don’t find this situation disgusting, but because there are thousands of decent workers doing a bloody great job to help people who are desperate, and this story will, no doubt, result in people giving less.",2018-02-12T10:25:38.000Z,https://t.co/9Xfuu08hDM,Damon,London,false,740,2562,46,100,-2462,-694
itvnews,"As Oxfam ambassadors Minnie Driver and Desmond Tutu quit their roles amid the Haiti sex scandal, @simonpegg explains why he is sticking by the charity https://t.co/gyDSel88DE https://t.co/6sqOgMtucQ",2018-02-15T21:24:30.000Z,https://t.co/a6E93qvfJx,ITV News,United Kingdom,true,814,2388,174,128,-2260,-640
GeorgeMonbiot,"Yes, the #oxfamscandal is terrible. But please don't let it be used to shut down the invaluable work that #Oxfam does around the world. Millions of people in desperate need would suffer as a result.",2018-02-12T07:23:02.000Z,http://t.co/DWv0C2B9q5,George Monbiot,NA,true,866,2050,58,123,-1927,-808
wmarybeard,"Of course one can’t condone the (alleged) behaviour of Oxfam staff in Haiti and elsewhere. But I do wonder how hard it must be to sustain “civilised” values in a disaster zone. And overall I still respect those who go in to help out, where most of us wd not tread.",2018-02-16T21:32:56.000Z,https://t.co/DqPvEoRaGH,mary beard,NA,false,274,1873,711,657,-1216,437
Harry_Moore_,"*The Bolton News newsroom*

“how do we find a local angle to the oxfam haiti sex scandal?”

“we could go to the local branch of oxfam and ask if any of the kind volunteers have ever paid for sex in haiti?”

“great idea” https://t.co/HmhUcAi0G9",2018-02-13T14:50:15.000Z,,harry moore,London,false,457,1821,31,21,-1800,-426
DPJHodges,So Labour finally issue a statement on Oxfam. They attack the Charity Commission and the Government. But not the organisation that was actually responsible for the abuse and cover-up.,2018-02-13T13:32:06.000Z,,(((Dan Hodges))),NA,true,854,1426,73,142,-1284,-781
driverminnie,"All I can tell you about this awful revelation about Oxfam is that I am devastated.Devastated for the women who were used by people sent there to help them, devastated by the response of an organization that I have been raising awareness for since I was 9 years old #oxfamscandal",2018-02-13T21:59:00.000Z,https://t.co/o6ST7d5VGy,Minnie Driver,Los Angeles,true,357,1294,38,118,-1176,-319
stellacreasy,"Hey twitter it IS possible to be horrified at what has happened at Haiti in Oxfam, passionate about value and purpose of international development and worried about the impact of the gagging laws on the vital capacity of charities to speak truth to power. All at the same time.",2018-02-12T11:44:58.000Z,https://t.co/3jfjA6TY5B,stellacreasy,NA,true,359,1228,26,31,-1197,-333
Kevin_Maguire,We'd hurt &amp; insult the world's poor if Oxfam's sex scandal was ignored but aid also needs defending. Crisis being exploited by those who don't care about Haitians but hate Britain's 0.7% aid &amp; charities,2018-02-12T08:51:52.000Z,,Kevin Maguire,NA,true,543,1119,21,103,-1016,-522
eltivipata,Ojalá la orgía con menores de Oxfam en Haití y el otro asunto turbio en el Chad lo hubiese hecho una ONG católica en lugar de una anticapitalista. Lo digo porque así vería a los tuistar de izquierdas denunciándolo en lugar de mirar a otro lado...,2018-02-11T21:53:54.000Z,https://t.co/XzObB0dsJo,José Luis Tivi,NA,false,655,1000,14,32,-968,-641
