user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
FloydShivambu,That @hm nonsense of a clothing store is now facing consequences for its racism. All rational people should agree that the store should not be allowed to continue operating in South Africa. Well done to Fighters who physically confronted racism. https://t.co/cgdedYGoOj,2018-01-13T09:44:03.000Z,https://t.co/AxTSq4owXt,Floyd Shivambu,"World Citizen, based in SA",true,4185,7143,12090,3890,-3253,7905
Phil_Lewis_,Members of the Economic Freedom Fighters (EFF) trash H&amp;M stores in protest over racist online ad https://t.co/27qi3SVe05 https://t.co/7TuudKtlrc,2018-01-13T14:29:35.000Z,https://t.co/NiNrsmOc28,philip lewis,"Washington, DC",true,275,312,780,70,-242,505
ArianelaSelene,".@hm this is inappropriate, offensive, and racist. Why is the white kid ""a jungle survivor"" and the black kid the ""coolest monkey in the jungle""? How do you think this is okay? REMOVE this and the clothing piece. This is completely distasteful! #racist #hm https://t.co/uati7eI0Io https://t.co/WSF9Wiksio",2018-01-08T03:29:39.000Z,,Selene,United States,false,1606,2893,1852,1065,-1828,246
ladbible,Protesters storm H&amp;M and trash store over 'racist' hoodie advert. https://t.co/dGvtTySgvH https://t.co/30MBXduQqt,2018-01-13T14:22:00.000Z,https://t.co/Nz2emitt7N,LADbible,NA,true,74,232,286,176,-56,212
JacaNews,EFF targets @hm over racist advert. https://t.co/i7z2ss5QfK #H&amp;M https://t.co/aP6pdvY0QA,2018-01-13T10:27:18.000Z,https://t.co/cTOV2AVYcN,Jacaranda News,Midrand,true,812,1677,888,200,-1477,76
thatgrapejuice,Nicki Minaj Under Pressure To Part Ways With H&amp;M https://t.co/cf1mt3WY8E https://t.co/DuB1FCkM4N,2018-01-08T20:29:18.000Z,http://t.co/L0X1olKcNz,ThatGrapeJuice (Sam),Everywhere!,true,27,35,82,25,-10,55
TimesLIVE,'I have H&amp;M clothes I'm going to burn' – Local celebs outraged over racist advert https://t.co/mm4wQ7Cael https://t.co/xB8zyv37v4,2018-01-09T07:25:07.000Z,https://t.co/kiVhTAAy7S,Times LIVE,"Johannesburg, South Africa",true,66,165,118,80,-85,52
ladbible,"H&amp;M apologise after controversial hoody is branded 'racist'.
https://t.co/0VJQozUcK4 https://t.co/71lwfngHgj",2018-01-08T17:07:22.000Z,https://t.co/Nz2emitt7N,LADbible,NA,true,37,166,75,132,-34,38
NBCNews,"Protesters ransack South African H&amp;M stores over ""racist"" ad https://t.co/Eq3Txy8xRO",2018-01-13T22:59:27.000Z,https://t.co/Z73is4fJ3x,NBC News,"New York, NY",true,48,105,59,306,201,11
BuzzFeed,"H&amp;M has apologized after it used a young black boy to model a jumper with ""monkey"" written on it
https://t.co/rLBItQkJke https://t.co/ZLUvjIuPiE",2018-01-08T18:21:00.000Z,https://t.co/9tsxyq9gNZ,BuzzFeed,New York,true,79,214,89,82,-132,10
netizenbuzz,H&amp;M slammed for 'coolest monkey in the jungle' sweater https://t.co/G3wwtbVazQ https://t.co/BegO7r8wUk,2018-01-09T04:00:05.000Z,http://t.co/CJfxfP0sZg,Netizen Buzz,Internet,false,15,23,24,7,-16,9
ABC7Chicago,H&amp;M apologizes for using black child to model 'coolest monkey in the jungle' hoodie: https://t.co/OnfPJWMcDS https://t.co/McQdrPHZzn,2018-01-08T19:16:50.000Z,https://t.co/L22loXfH4F,ABC 7 Chicago,"Chicago, Illinois",true,12,17,20,10,-7,8
GEORGEXTORTION,Jacksonville Got Dat Monkey D Out Dere &amp; Dats On H&amp;M,2018-01-14T18:43:29.000Z,https://t.co/I2rK04vBlm,Georgie,"Miami,FL DaCity ",false,4,3,12,0,-3,8
BSO,"Mother of The Black Kid in H&amp;M Coolest Monkey in Jungle Hoodie Doesn’t Want Your Protests, Says Get Over It https://t.co/1wI1rMvmJq https://t.co/VtSEDhH47r",2018-01-11T02:52:19.000Z,https://t.co/uXw1l3zIeZ,Robert Littal BSO,"Los Angeles, CA",true,10,20,17,22,2,7
thrstyle,"H&amp;M faces Twitter backlash for ""racist"" hoodie: https://t.co/ZGJKjSND6i",2018-01-08T14:16:52.000Z,https://t.co/75L3qQUHZz,Hollywood Reporter Style,"Los Angeles, CA",false,5,18,11,3,-15,6
ScottishSun,Shoppers slam H&amp;M over ‘racist’ hoodie advert with black youngster wearing an: ‘I’m a monkey T-shirt’ https://t.co/2tRM0DvFP9,2018-01-08T13:43:00.000Z,https://t.co/OSnNxFO44Q,The Scottish Sun,"Glasgow, UK",true,3,11,8,14,3,5
LifeStyleVipUsa,Fashion&gt; Model - H&amp;M accused of racism over children's hoodie &gt; (P...https://t.co/z5jJ9sWMGY #Style https://t.co/B2oJrcRaHK,2018-01-08T16:27:23.000Z,http://t.co/Xo3pwIGQmF,LifeStyle VIP Usa,"New York, NY, United States ",false,2,2,7,1,-1,5
Adweek,H&amp;M is under fire for modeling its ‘Coolest Monkey’ hoodie on a black child https://t.co/srqXJaDb3J https://t.co/QDUXlA9zEs,2018-01-08T17:45:00.000Z,https://t.co/5GsyiFiwln,Adweek,New York City,true,23,23,28,5,-18,5
PaulChambersTV,"This ad of a black child wearing a hoodie saying ""coolest monkey in the jungle “ has people calling for a #boycott of clothing store @hm #KTVU #boycottHandM https://t.co/UF7M233uT2",2018-01-08T21:38:51.000Z,,Paul Chambers,Oakland Ca,true,3,5,8,2,-3,5
ladbible,The Weeknd cuts ties with H&amp;M over 'deeply offensive' photo. https://t.co/icY70dxLVM https://t.co/EVNYFnOtpe,2018-01-09T09:39:55.000Z,https://t.co/Nz2emitt7N,LADbible,NA,true,17,161,22,51,-110,5
ActionNewsJax,Controversial H&amp;M monkey hoodie sparks outrage. Do you find this ad offensive in 2018? Vote: https://t.co/YUDgLZ6Ae3 https://t.co/5lKehzX2Vf,2018-01-09T12:59:18.000Z,https://t.co/id6yalG7yp,ActionNewsJax,"Jacksonville, Florida",true,2,5,7,20,15,5
Im_0n1,Taking my monkey ass to H&amp;M on my lunch break to cop some sweats,2018-01-09T15:03:41.000Z,https://t.co/tgiEzyALBm,Trill Jackson,In the winners circle,false,1,8,6,1,-7,5
skycallie_,"So, being employed at @hm and all.. and @theweeknd trynna show out, THIS WAS YO LAST SEASON WITH US REGARDLESS SIR. YA CONTRACT BEEN UP.",2018-01-09T20:52:35.000Z,https://t.co/XI9OJUxhp9,🐐,"Kansas City, MO",false,1,1,5,0,-1,4
lorynbrown_,Y’all mad at h&amp;m about a monkey but love buying Bape 🤗,2018-01-10T15:10:20.000Z,https://t.co/1WSLVooBSS,LB,NA,false,1,7,5,1,-6,4
okayplayer,SMH! Rachel Dolezal is trying to profit off of the racist H&amp;M scandal. https://t.co/M393aLdywo https://t.co/CbScqrR7Jl,2018-01-10T17:43:08.000Z,https://t.co/3fLhkJmMXg,Okayplayer,"Brooklyn, NY",true,3,4,7,3,-1,4
Yungmonster12,I BEEN jumped off that H&amp;M wave when they kept Nicki Minaj on their holiday campaign after her brother was found guilty of child rape. I guess took them calling a black child a fucking monkey for y’all to get the picture.,2018-01-11T17:31:56.000Z,,Yung 💰🔮,"California, Las Vegas, Arizona",false,5,11,9,6,-5,4
Independent,H&amp;M face huge backlash over ‘racist’ ad https://t.co/zvAwy3WRiB,2018-01-08T12:13:44.000Z,https://t.co/gZeS7qlNx6,The Independent,"London, England",true,12,18,15,13,-5,3
Colorlines,H&amp;M Apologizes for Advertising 'Coolest Monkey in the Jungle' Hoodie With Black Child Model https://t.co/6DGD4kvPHU https://t.co/E21H3XIj7o,2018-01-08T19:56:46.000Z,https://t.co/LZLuLyN3wu,Colorlines,NA,false,5,2,8,1,-1,3
PrettyGurlAlex_,"Just Walked Passed H&amp;M &amp; Yelled ""YALL RACIST MOTHERFUCKAS""",2018-01-08T22:19:51.000Z,https://t.co/TrYbsWNvwV,A',NA,false,1,4,4,0,-4,3
LRNROSE,everybody mad @ H&amp;M but this was his parents driving his lil monkey ass to the bank to cash that check https://t.co/awuiLxfDWj,2018-01-08T23:12:38.000Z,,Your OG 🐩, 📍Earth,false,2,8,5,1,-7,3
Dear_Sunshine,"Maybe it's just me, but I feel like H&amp;M honestly didn't mean any harm &amp; that us African Americans be looking for any reason to jump off to racism..",2018-01-08T23:29:34.000Z,,Nyree,Instagram: Bellenavi ✨,false,1,2,4,2,0,3
glncv,"H&amp;M Uses Black Child in Racist ""Coolest Monkey in the Jungle"" Ad, Apologizes https://t.co/IUx34VEZmF",2018-01-09T05:45:14.000Z,https://t.co/aZivPP6uNA,Fund the people. Disarm the police.,Beside you,false,1,2,4,0,-2,3
tjournal,"The Weeknd, Леброн Джеймс и Пи Дидди раскритиковали H&amp;M за рекламу с темнокожим мальчиком в худи «Крутейшая обезьяна в джунглях» и отказались сотрудничать с брендом https://t.co/JCSzT8rc8Z",2018-01-09T15:56:53.000Z,https://t.co/5YhnbaFfFr,TJ,Moscow,true,12,48,15,8,-40,3
theflowmag,"G-Eazy должен был 1 марта представить свою совместную коллекцию с H&amp;M, но отказался после шумихи с фото черного мальчика

https://t.co/Og2x0gmXIK https://t.co/UxGvSmsFeM",2018-01-10T10:49:05.000Z,https://t.co/M6aU7skjy8,The-Flow.ru,"Moscow, Russia",false,2,44,5,5,-39,3
linkuptv,.. @hm 'Racist' Hoody... What The Streets Think? Presenter @bigzthehost 👉🏾 https://t.co/9TL7F972Uf https://t.co/kXIuCZtRCk,2018-01-10T12:00:29.000Z,https://t.co/9oCo2o1XBF,Link Up TV,"London, UK",true,4,3,7,0,-3,3
donpeezly,I’m still going to wear h&amp;m tbh lol affordable shit Beloved ... you can shop at the expensive racist I guess,2018-01-10T13:01:03.000Z,https://t.co/T1DEuCB4gq,ROXY... SL 🏁🐍,"New York, NY",false,1,6,4,0,-6,3
theflowmag,"Продолжение истории с H&amp;M — появился комментарий матери ребенка, изображенного на фото. Она не видит в ситуации ничего плохого

https://t.co/Og2x0gEyAi https://t.co/EtPAyzZ4pW",2018-01-11T08:12:03.000Z,https://t.co/M6aU7skjy8,The-Flow.ru,"Moscow, Russia",false,4,147,7,9,-138,3
someecards,"Protesters trash H&amp;M stores in South Africa to protest racist ad.
https://t.co/kHEQaSDLgr https://t.co/pZB9qXkMwI",2018-01-13T17:20:07.000Z,http://t.co/BdsIwxBLPb,someecards,"New York, NY",true,2,7,5,2,-5,3
IreneKarenina,Coolest monkey in the jungle? Really @hm? https://t.co/dwuxzNgYDF,2018-01-08T04:10:18.000Z,,Irene Karenina,Malta,false,8,8,10,2,-6,2
NYDailyNews,"EPIC FAIL: The internet dragged @hm for having a young black boy model a ""coolest monkey in the jungle"" hoodie https://t.co/5UhPtZ1l9Q https://t.co/ppkOXwNm1c",2018-01-08T13:00:40.000Z,https://t.co/0UlNdSH0rW,New York Daily News,New York / fb.com/nydailynews,true,38,31,40,25,-6,2
officialbck,H&amp;M APOLOGIZES FOR RACIALLY INSENSITIVE AD OF AFRICAN-AMERICAN BOY WEARING ‘COOLEST MONKEY IN THE JUNGLE’ HOODIE https://t.co/CzhXJXdEIL https://t.co/nzZ6Liq8fW,2018-01-08T17:01:11.000Z,https://t.co/t77sM2WhBT,BCK,NY,false,5,4,7,1,-3,2
lil__voodoo,"Fuck the check, fuck the parents why would H&amp;M make that shirt for anybody??? White or black...that’s why I’m sayin Fuck H&amp;M...like who is really gonna buy that shirt?! Like the thought that this is racist af didn’t come across none of their minds at corporate?!",2018-01-08T17:44:03.000Z,,CMurderdat💦👌🏾,"Cleveland, OH",false,2,2,4,0,-2,2
stereogum,The Weeknd cuts ties with H&amp;M over offensive photo https://t.co/jN3sVTVee3 https://t.co/myKboE0iyg,2018-01-08T20:02:53.000Z,https://t.co/0WEtsm5MRQ,Stereogum,USA,true,1,16,3,0,-16,2
thenajdy,"Timberland is racist, Hilfiger is racist, h&amp;m is now Obviously racist but i bet you EVERYONE IS STILL GONNA WEAR IT",2018-01-09T03:20:12.000Z,,boujee,NA,false,1,1,3,0,-1,2
designtaxi,"The Weeknd felt ""shocked and embarrassed"" by one of H&amp;M's children's sweaters  https://t.co/H7a2eUuPIJ",2018-01-09T04:45:04.000Z,http://t.co/Wf7dULD4hP,TAXI,Everywhere,true,1,4,3,1,-3,2
kiii3news,H&amp;M apologizes for ad showing black child model wearing 'monkey' hoodie https://t.co/NBS7CZkg54 https://t.co/RGnZKmBTSJ,2018-01-09T05:23:57.000Z,https://t.co/mHLWrLemYI,KIII 3 News,"Corpus Christi, Texas",true,1,5,3,0,-5,2
SowetanLIVE,H&amp;M removes 'black boy' ad after racism accusation https://t.co/emY6108Z4F https://t.co/Gy2ozU8ben,2018-01-09T08:42:04.000Z,https://t.co/wJ6YEv86xM,Sowetan LIVE,"Johannesburg, South Africa",true,6,3,8,0,-3,2
yasminlilix,The whole 'it's your way of thinking' gang on regarding the @hm monkey jumper scandal are completely missing point of the etymology of the word monkey in relation to black people. It is NOT forcing it when every other jumper had a white child in the jumper ...,2018-01-09T10:43:54.000Z,https://t.co/n1RqHZ1un5,actorvist,instagram|snapchat: yasminlili,false,1,7,3,2,-5,2
MadameNoire,"Move over H&amp;M! Political commentator Angela Rye is also calling out Adidas over  their ""Predator"" ad featuring soccer star Paul Pogba. Is it offensive to you? https://t.co/SFdxCMtQnS https://t.co/49karaapUd",2018-01-09T14:30:05.000Z,https://t.co/anBKPye0Gs,MadameNoire,NA,true,4,5,6,1,-4,2
_CheckMyFRANCh,If H&amp;M offers me 1 million to wear a monkey sweater and shut my fat ass up. I’m gonna wear the monkey sweater and shut my fat ass up.,2018-01-09T15:48:21.000Z,https://t.co/dCSQjNNGJH,thee skinny legend 🦴,HTX 🐎,false,1,11,3,0,-11,2
